ST_CASE,WEATHERNAME
40012,Cloudy
40014,Cloudy
40015,Clear
40016,Clear
40017,Clear
40018,Clear
40019,Clear
40020,Clear
40021,Clear
40022,Rain
40023,Cloudy
40024,Clear
40025,Clear
40026,Cloudy
40027,Cloudy
40028,Clear
40029,Clear
40030,Clear
40031,Clear
40032,Sleet or Hail
40033,Cloudy
40034,Clear
40035,Clear
40036,Cloudy
40037,Clear
40038,Clear
40039,Clear
40040,Clear
40041,Clear
40042,Clear
40043,Clear
40044,Clear
40045,Clear
40046,Clear
40047,Clear
40048,Clear
40049,Clear
40050,Clear
40051,Clear
40052,Rain
40053,Clear
40054,Cloudy
40055,Reported as Unknown
40056,Cloudy
40057,Clear
40058,Not Reported
40059,Clear
40060,Clear
40061,Clear
40062,Not Reported
40063,Clear
40064,Clear
40065,Clear
40066,Clear
40067,Clear
40068,Rain
40069,Cloudy
40070,Clear
40071,Clear
40072,Clear
40073,Clear
40074,Clear
40075,Clear
40076,Clear
40077,Clear
40078,Cloudy
40079,Clear
40080,Rain
40081,Clear
40082,Cloudy
40083,Cloudy
40084,Clear
40085,Clear
40086,Clear
40087,Clear
40088,Not Reported
40089,Clear
40090,Cloudy
40091,Clear
40092,Clear
40093,Clear
40094,Cloudy
40095,Rain
40096,Clear
40097,Clear
40098,Clear
40099,Clear
40100,Clear
40101,Cloudy
40102,Cloudy
40103,Clear
40104,Clear
40105,Clear
40106,Clear
40107,Cloudy
40108,Rain
40109,Rain
40110,Snow
40111,Snow
40112,Clear
40113,Clear
40114,Clear
40115,Clear
40116,Cloudy
40117,Clear
40118,Clear
40120,Clear
40121,Clear
40122,Clear
40123,Clear
40124,Clear
40125,Clear
40126,Cloudy
40127,Clear
40128,Clear
40129,Rain
40130,Clear
40131,Clear
40132,Cloudy
40133,Clear
40134,Clear
40135,Clear
40136,Clear
40137,Clear
40138,Cloudy
40139,Clear
40140,Clear
40141,Clear
40142,Clear
40143,Clear
40144,Clear
40145,Clear
40146,Clear
40147,Clear
40148,Clear
40149,Clear
40150,Clear
40151,Clear
40152,Clear
40153,Clear
40154,Clear
40155,Clear
40156,Clear
40157,Clear
40158,Clear
40159,Clear
40160,Clear
40161,Clear
40162,Clear
40163,Clear
40164,Clear
40165,Clear
40166,Clear
40167,Rain
40168,Not Reported
40169,Rain
40170,Clear
40171,Clear
40172,Cloudy
40173,Rain
40174,Rain
40175,Not Reported
40176,Clear
40177,Clear
40178,Clear
40179,Clear
40180,Not Reported
40181,Not Reported
40182,Clear
40183,Rain
40184,Rain
40185,Snow
40186,Rain
40187,Clear
40188,Clear
40189,Clear
40190,Clear
40191,Clear
40192,Clear
40193,Clear
40194,Clear
40195,Clear
40196,Clear
40197,Clear
40198,Clear
40199,Clear
40200,Not Reported
40201,Clear
40202,Clear
40203,Reported as Unknown
40204,Reported as Unknown
40205,Clear
40206,Reported as Unknown
40207,Clear
40208,Not Reported
40209,Clear
40210,Clear
40211,Not Reported
40212,Clear
40213,Clear
40214,Clear
40215,Clear
40216,Clear
40217,Not Reported
40218,Clear
40219,Clear
40220,Clear
40221,Clear
40223,Not Reported
40224,Clear
40225,Not Reported
40227,Clear
40228,Clear
40229,Clear
40230,Clear
40231,Clear
40232,Clear
40233,Clear
40234,Clear
40235,Cloudy
40236,Clear
40237,Clear
40238,Clear
40239,Clear
40240,Clear
40241,Clear
40242,Clear
40243,Clear
40244,Clear
40245,Clear
40246,Clear
40247,Clear
40248,Clear
40249,Clear
40250,Clear
40251,Clear
40252,Clear
40253,Clear
40254,Clear
40255,Clear
40256,Clear
40257,Clear
40258,Clear
40259,Clear
40260,Rain
40261,Clear
40262,Clear
40263,Clear
40264,Clear
40265,Clear
40267,Clear
40268,Clear
40269,Clear
40270,Clear
40271,Clear
40272,Clear
40273,Cloudy
40274,Clear
40275,Clear
40276,Clear
40277,Clear
40278,Clear
40279,Clear
40280,Clear
40281,Clear
40282,Clear
40283,Clear
40284,Clear
40285,Clear
40286,Clear
40287,Clear
40288,Clear
40289,Clear
40290,Reported as Unknown
40291,Clear
40292,Clear
40293,Clear
40294,Clear
40295,Clear
40296,Clear
40297,Clear
40298,Clear
40299,Clear
40300,Not Reported
40301,Clear
40302,Clear
40303,Clear
40304,Clear
40305,Clear
40306,Clear
40307,Clear
40308,Rain
40311,Clear
40312,Clear
40313,Clear
40314,Clear
40315,Clear
40316,Clear
40317,Clear
40318,Clear
40319,Cloudy
40320,Reported as Unknown
40321,Clear
40322,Clear
40324,Clear
40325,Cloudy
40326,Clear
40327,Clear
40328,Clear
40329,Rain
40330,Clear
40332,Clear
40333,Clear
40334,Cloudy
40335,Clear
40336,Clear
40337,Cloudy
40338,Cloudy
40339,Clear
40340,Clear
40341,Cloudy
40342,Clear
40343,Clear
40344,Clear
40345,Clear
40346,Clear
40347,Cloudy
40348,Clear
40349,Clear
40350,Clear
40351,Clear
40352,Clear
40353,Clear
40354,Clear
40355,Clear
40356,Clear
40357,Clear
40358,Clear
40359,Clear
40360,Clear
40361,Clear
40362,Clear
40363,Clear
40364,Clear
40365,Clear
40366,Clear
40367,Clear
40368,Clear
40369,Clear
40370,Clear
40371,Clear
40372,Clear
40373,Clear
40374,Clear
40375,Clear
40376,Clear
40377,Clear
40378,Clear
40379,Clear
40380,Clear
40381,Clear
40382,Clear
40383,Clear
40384,Clear
40385,Cloudy
40386,Clear
40387,Clear
40388,Clear
40389,Reported as Unknown
40390,Reported as Unknown
40391,Clear
40392,Clear
40393,Cloudy
40394,Clear
40395,Cloudy
40396,Clear
40397,Reported as Unknown
40398,Clear
40399,Reported as Unknown
40400,Reported as Unknown
40401,Reported as Unknown
40402,Clear
40403,Reported as Unknown
40404,Clear
40405,Reported as Unknown
40406,Clear
40407,Clear
40408,Reported as Unknown
40409,Clear
40410,Not Reported
40411,Cloudy
40412,Clear
40413,Clear
40414,Clear
40415,Clear
40416,Clear
40417,Clear
40418,Clear
40419,Clear
40420,Clear
40421,Clear
40422,Clear
40423,Clear
40424,Clear
40425,Cloudy
40426,Clear
40427,Clear
40428,Clear
40429,Clear
40430,Clear
40431,Clear
40432,Clear
40433,Clear
40434,Clear
40435,Clear
40436,Clear
40437,Cloudy
40438,Clear
40439,Clear
40440,Other
40441,Clear
40442,Clear
40443,Clear
40444,Clear
40445,Clear
40446,Clear
40447,Clear
40448,Clear
40449,Clear
40450,Clear
40452,Clear
40453,Clear
40454,Clear
40455,Clear
40456,Clear
40457,Reported as Unknown
40458,Reported as Unknown
40459,Reported as Unknown
40460,Clear
40461,Clear
40462,Clear
40463,Reported as Unknown
40464,Reported as Unknown
40465,Clear
40466,Clear
40467,Clear
40468,Clear
40469,Clear
40470,Clear
40471,Cloudy
40472,Clear
40473,Clear
40474,Clear
40475,Rain
40476,Clear
40477,Clear
40478,Clear
40479,Clear
40480,Clear
40481,Cloudy
40482,Cloudy
40483,Clear
40484,Clear
40485,Clear
40486,Cloudy
40487,Cloudy
40488,Clear
40489,Rain
40490,Clear
40491,Clear
40492,Clear
40493,Clear
40494,Clear
40495,Cloudy
40497,Clear
40498,Clear
40499,Clear
40500,Clear
40501,Clear
40502,Cloudy
40503,Clear
40504,Clear
40505,Cloudy
40506,Clear
40507,Reported as Unknown
40508,Rain
40509,Severe Crosswinds
40510,Rain
40511,Clear
40512,Clear
40513,Clear
40514,Clear
40515,Clear
40516,Clear
40517,Clear
40518,Reported as Unknown
40519,Clear
40520,Reported as Unknown
40521,Clear
40522,Clear
40523,Reported as Unknown
40524,Clear
40525,Clear
40526,Clear
40527,Reported as Unknown
40528,Clear
40530,Reported as Unknown
40531,Cloudy
40532,Clear
40533,Reported as Unknown
40534,Clear
40535,Clear
40536,Clear
40537,Clear
40538,Rain
40539,Clear
40540,Reported as Unknown
40541,Clear
40542,Reported as Unknown
40543,Clear
40544,Clear
40545,Clear
40546,Clear
40547,Clear
40548,Clear
40549,Clear
40551,Cloudy
40552,Clear
40553,Cloudy
40554,Rain
40556,Clear
40557,Clear
40558,Cloudy
40559,Cloudy
40560,Clear
40561,Clear
40562,Cloudy
40563,Clear
40564,Clear
40565,Cloudy
40566,Clear
40567,Clear
40568,Clear
40569,Clear
40570,Clear
40571,Clear
40572,Clear
40573,Clear
40574,Clear
40575,Clear
40576,Clear
40577,Clear
40578,Clear
