ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10129,0,0,0,0,0,0,0,0,0,0
10130,0,0,0,0,0,0,0,0,6,0
10131,0,0,0,0,0,0,0,0,0,0
10132,12,0,0,0,0,0,0,0,0,0
10133,15,15,15,15,15,15,15,15,15,15
10134,0,0,0,0,0,32,0,0,0,0
10135,0,0,0,0,0,0,0,0,0,0
10136,21,21,21,21,21,21,21,21,21,21
10137,24,24,24,24,24,24,24,24,24,24
10138,0,0,0,15,0,0,12,0,0,0
10139,0,0,0,0,0,0,0,0,0,0
10140,22,22,22,22,22,22,27,22,22,22
10141,20,20,20,20,20,20,20,20,20,20
10142,0,0,0,0,0,0,0,17,20,0
10143,23,0,0,0,0,0,0,0,0,0
10144,0,0,0,0,0,0,0,0,0,0
10145,12,12,12,12,12,12,12,12,12,12
10146,0,0,0,0,0,0,0,0,16,0
10147,0,0,0,0,0,0,28,0,0,0
10148,8,0,0,0,0,0,8,0,0,12
10149,0,0,0,0,0,0,0,0,0,0
10150,0,0,0,0,0,0,0,0,0,0
10151,12,12,12,12,12,12,12,12,12,12
10152,24,24,24,24,24,24,24,24,24,24
10153,0,0,0,0,0,0,0,0,0,0
10154,0,0,0,0,0,0,0,0,0,24
10155,16,16,16,16,16,16,16,16,16,16
10156,8,0,15,13,0,0,14,26,13,12
10157,0,0,12,0,0,0,0,0,0,0
10158,0,0,0,0,0,0,0,0,0,0
10159,0,0,0,0,0,0,0,0,0,0
10160,0,0,0,0,0,0,0,0,0,0
10161,24,17,26,15,11,6,15,30,9,12
10162,0,0,0,0,0,0,0,0,0,0
10163,0,0,0,0,0,0,0,0,0,0
10164,19,20,0,20,0,18,16,0,17,0
10165,0,0,2,8,0,0,19,0,24,0
10166,11,11,11,11,11,11,11,11,11,11
10167,0,0,0,0,0,0,0,0,0,0
10168,0,0,0,0,0,0,0,0,0,0
10169,0,0,0,0,0,0,0,0,0,0
10170,27,0,0,0,0,0,0,7,32,0
10171,22,22,22,22,22,22,22,22,22,22
10172,14,14,14,14,14,14,14,14,14,14
10173,0,2,0,0,0,0,0,0,0,0
10174,0,0,0,0,0,0,0,0,0,0
10175,0,0,0,0,0,0,0,0,0,9
10176,0,0,0,0,0,0,0,0,0,0
10177,0,0,0,0,0,0,0,0,0,0
10178,0,0,0,0,0,0,0,0,0,0
10179,0,0,0,0,0,0,0,0,0,0
10180,0,0,0,0,0,0,0,0,0,0
10181,0,0,0,0,0,0,10,0,0,0
10182,0,0,0,0,0,0,0,0,0,0
10183,0,18,30,0,12,12,8,0,0,16
10184,12,12,12,12,12,12,12,12,12,12
10185,7,7,7,7,7,7,7,28,7,7
10186,0,0,0,23,0,0,0,0,0,0
10187,0,11,4,0,15,25,0,21,0,0
10188,0,0,0,0,0,0,0,0,0,0
10189,2,2,2,2,2,2,2,2,2,2
10190,0,0,0,0,0,0,0,0,0,0
10191,20,10,3,21,0,16,0,0,0,0
10192,0,12,0,0,0,0,7,0,0,0
10193,30,30,30,30,30,30,30,30,30,30
10194,0,0,0,0,0,0,0,0,0,0
10195,0,0,0,0,0,0,8,0,0,0
10196,0,0,0,0,0,0,0,0,0,0
10197,0,0,0,0,0,0,0,0,0,0
10198,11,11,11,11,11,11,11,11,11,11
10199,0,0,0,0,6,0,0,0,0,5
10200,0,0,0,0,0,0,0,0,0,0
10201,18,18,18,18,18,18,18,18,18,18
10202,8,8,8,8,8,8,8,8,8,8
10203,0,0,0,0,0,0,0,0,0,0
10204,0,21,36,24,19,0,0,0,0,12
10205,0,0,0,0,16,0,0,0,0,0
10206,0,0,0,0,0,0,0,0,0,0
10207,0,0,0,0,0,0,0,0,0,0
10208,0,0,0,0,0,0,0,0,0,0
10209,0,12,11,0,0,0,0,14,16,7
10210,0,0,0,0,12,0,0,0,0,0
10211,15,0,10,0,0,0,0,0,0,0
10212,17,16,22,16,22,8,12,15,8,13
10213,4,4,4,4,4,4,4,4,4,4
10214,0,0,0,0,0,0,0,0,0,0
10215,0,0,0,0,0,0,11,0,0,0
10216,0,0,0,0,0,0,0,0,0,0
10217,27,27,27,27,27,27,27,27,27,27
10218,26,0,18,0,0,0,13,21,39,16
10219,17,20,17,11,17,15,9,17,13,8
10220,0,0,0,0,0,0,0,0,0,0
10221,0,0,0,0,0,0,0,0,0,0
10222,0,0,0,13,0,0,0,0,0,0
10223,21,21,21,21,21,21,21,21,21,21
10224,0,0,0,0,0,0,0,0,0,0
10225,0,0,0,0,0,0,0,0,0,0
10226,0,0,0,0,0,0,0,0,0,0
10227,36,36,36,36,36,36,36,36,36,36
10228,0,0,0,0,0,0,0,0,0,0
10229,0,0,0,0,0,0,0,6,0,0
10230,0,0,0,0,0,0,0,0,0,0
10231,0,0,0,0,0,0,0,0,0,0
10232,34,12,10,13,26,14,26,20,22,18
10233,22,22,22,22,22,22,22,22,22,22
10234,16,16,16,16,16,16,16,16,16,16
10235,23,13,0,16,31,0,13,18,8,19
10236,0,0,15,0,0,0,7,33,0,0
10237,24,24,24,24,24,24,24,24,24,24
10238,0,0,0,0,0,0,0,0,0,0
10239,0,28,0,0,0,0,0,10,0,0
10240,0,0,0,0,0,0,0,0,0,0
10241,0,0,0,0,0,0,0,0,0,0
10242,8,0,0,0,0,13,19,15,27,0
10243,0,0,0,0,0,0,0,0,0,0
10244,0,0,0,0,0,0,0,0,0,0
10245,30,30,30,30,30,30,30,30,30,30
10246,0,0,0,0,0,0,0,0,0,0
10247,23,23,23,23,23,23,23,23,23,23
10248,20,20,20,20,20,20,20,20,20,20
10249,26,18,45,0,4,25,29,0,29,23
10250,31,31,31,31,31,31,31,31,31,31
10251,0,0,0,0,0,10,14,0,0,0
10252,14,0,0,0,0,12,10,28,0,0
10253,0,0,0,0,0,0,0,0,0,0
10254,0,0,17,0,0,0,0,0,0,0
10255,0,0,0,0,0,0,0,0,0,0
10256,0,0,2,0,18,0,23,0,18,0
10257,0,0,0,0,0,0,0,0,0,0
10258,0,0,0,0,0,0,0,0,0,0
10259,17,30,20,0,2,0,0,0,0,0
10260,0,0,0,0,0,0,0,0,0,0
10261,6,0,12,0,13,0,17,0,11,0
10262,0,0,0,0,0,0,0,0,0,0
10263,0,0,0,0,0,0,0,0,0,0
10264,25,25,25,25,25,25,25,25,25,25
10265,0,0,19,0,0,0,0,0,0,0
10266,14,14,14,14,14,14,14,14,14,14
10267,0,0,0,0,0,0,0,0,0,0
10268,0,0,0,0,0,0,0,0,0,0
10269,14,0,19,0,0,0,0,0,10,0
10270,0,0,0,0,0,0,0,0,0,0
10271,0,0,0,0,0,0,0,0,0,0
10272,0,0,0,0,0,0,0,0,0,0
10273,0,0,18,8,16,17,3,0,0,0
10274,0,0,0,0,0,0,0,0,0,0
10275,0,0,0,0,13,0,0,12,0,0
10276,0,0,0,0,0,0,0,0,0,0
10277,7,10,26,0,0,0,19,9,0,13
10278,0,0,0,0,0,0,0,0,0,0
10279,0,0,0,0,0,0,0,0,0,0
10280,0,0,0,0,0,0,0,0,0,0
10282,16,16,16,16,16,16,16,16,16,16
10283,0,11,0,6,0,0,0,0,0,0
10284,94,94,94,94,94,94,94,94,94,94
10285,9,9,9,9,9,9,9,9,9,9
10286,0,0,0,0,0,0,0,0,0,0
10287,13,0,0,0,0,0,18,0,0,0
10288,0,0,0,0,0,0,0,0,0,0
10289,0,0,0,0,0,0,0,0,0,0
10290,0,0,0,0,0,0,0,0,0,0
10291,17,17,17,17,17,17,17,17,17,17
10292,0,0,0,0,0,0,0,0,0,0
10293,0,0,0,0,0,0,0,0,0,0
10294,23,0,8,0,24,0,0,0,12,10
10295,19,2,16,22,0,34,3,34,12,0
10296,0,0,0,0,0,0,0,0,0,0
10297,0,0,0,0,0,0,0,0,0,0
10298,0,0,0,0,0,0,0,0,0,0
10299,21,21,21,21,21,21,21,21,21,21
10300,0,13,0,0,0,0,11,13,16,0
10301,0,0,0,0,0,0,0,0,0,0
10302,0,0,0,45,55,0,0,0,16,0
10303,0,0,0,0,0,0,0,0,0,0
10304,2,2,2,2,2,2,2,2,2,2
10305,15,15,15,15,15,15,15,15,15,15
10306,0,0,0,0,0,0,0,0,0,0
10307,0,0,0,0,2,0,0,0,6,0
10308,20,20,20,20,20,20,20,20,20,20
10309,20,20,20,20,20,20,20,20,20,20
10310,9,0,0,18,0,0,0,0,0,0
10311,0,0,0,0,0,0,0,0,0,0
10312,0,0,0,0,0,0,0,0,0,0
10313,11,11,11,11,11,11,11,11,11,11
10314,8,29,0,0,5,0,0,0,18,12
10315,0,0,0,0,0,0,0,0,0,0
10316,0,0,0,0,0,0,0,0,0,0
10317,0,0,0,0,0,0,0,0,0,0
10318,0,0,0,0,0,15,0,16,0,0
10319,9,0,0,0,7,16,0,11,6,0
10320,0,0,0,0,0,0,0,0,0,0
10321,0,0,0,0,0,0,0,0,0,18
10322,0,0,0,0,0,0,0,0,0,0
10323,0,0,0,0,0,0,0,0,0,0
10324,22,25,22,22,22,22,22,22,22,47
10325,0,0,0,0,0,0,0,0,0,0
10326,0,0,0,0,0,0,0,0,0,0
10327,0,0,0,18,0,0,0,0,0,0
10328,0,0,0,0,0,14,0,0,0,0
10329,30,30,30,30,30,30,30,30,30,30
10330,0,0,0,0,0,0,0,0,0,0
10331,0,0,0,0,0,0,0,0,0,0
10332,0,0,0,0,0,0,0,0,0,0
