ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10405,0,0,0,0,0,0,0,0,0,0
10406,23,8,0,0,8,35,16,9,7,15
10407,0,0,0,0,0,0,0,0,0,0
10408,0,0,0,0,0,0,0,0,0,0
10409,7,7,10,3,19,13,0,14,0,18
10410,0,0,0,0,0,0,0,0,0,0
10411,0,0,0,0,0,2,0,0,0,0
10412,0,0,0,0,0,0,0,0,0,0
10413,0,0,0,0,0,0,0,0,0,0
10414,0,0,0,0,0,0,0,0,0,0
10415,3,0,0,0,0,0,0,0,0,0
10416,0,0,0,0,0,0,0,0,0,0
10417,0,0,0,0,0,0,0,0,0,0
10418,0,0,0,0,0,0,0,0,0,0
10419,18,18,18,18,18,18,18,18,18,18
10420,13,24,0,19,0,0,16,2,0,15
10421,0,0,0,0,0,0,0,0,0,0
10422,0,0,0,0,0,0,0,0,0,0
10423,0,29,0,0,0,20,0,0,5,0
10424,0,15,7,14,0,14,0,24,0,0
10425,0,0,0,0,0,45,0,0,0,0
10426,0,0,0,0,0,0,0,0,0,0
10427,0,0,0,0,0,0,0,0,0,0
10428,18,18,18,18,18,18,18,18,18,23
10429,13,13,13,13,13,13,13,13,13,13
10430,0,0,0,8,16,0,0,0,7,0
10431,0,0,0,0,0,0,0,0,0,0
10432,0,0,0,0,0,0,0,0,0,0
10433,0,0,0,0,0,0,0,0,0,0
10434,0,0,0,0,0,0,0,0,0,0
10435,10,10,10,10,10,10,10,10,34,10
10436,0,25,16,0,0,0,0,0,30,17
10437,0,27,0,0,0,20,0,9,0,0
10438,41,41,41,41,41,41,41,41,41,41
10439,10,10,0,18,31,12,0,9,27,17
10440,0,0,0,0,0,0,0,0,0,0
10441,0,0,0,0,0,0,0,0,0,0
10442,0,0,0,0,0,0,0,0,0,0
10443,0,0,0,0,0,0,0,0,0,0
10444,0,0,0,12,0,11,0,0,0,0
10445,0,0,0,21,0,0,0,0,0,0
10446,0,0,0,0,0,0,0,0,0,0
10447,0,0,0,0,0,0,0,0,0,0
10448,0,0,0,0,0,0,0,0,0,0
10449,0,0,0,0,0,0,0,0,0,0
10450,27,27,27,27,27,27,27,27,27,27
10451,0,0,7,0,0,0,0,0,0,0
10452,2,2,2,2,2,2,2,2,2,2
10453,15,15,15,15,15,18,15,15,15,15
10454,16,0,0,0,0,14,0,0,0,0
10455,17,17,17,17,17,17,17,17,17,17
10456,9,9,9,9,9,9,9,9,9,9
10457,3,3,3,3,3,3,3,3,3,3
10458,20,20,20,20,20,20,20,20,20,20
10459,0,0,0,0,0,0,16,22,0,16
10460,0,0,0,0,0,0,0,0,0,0
10461,22,0,0,0,17,0,16,0,0,0
10462,22,22,22,22,22,22,22,22,22,22
10463,0,0,0,7,0,0,0,0,0,0
10464,0,0,20,27,0,0,0,0,0,0
10465,0,6,0,11,0,22,15,0,22,0
10466,6,6,6,6,6,6,6,6,6,6
10467,0,0,0,0,0,0,0,0,0,0
10468,0,0,0,0,0,0,0,0,0,0
10469,0,0,0,26,0,0,0,0,55,0
10470,0,0,0,0,0,0,0,0,0,0
10471,17,49,3,20,29,0,16,13,16,27
10472,17,0,0,0,0,19,0,0,0,0
10473,0,0,0,0,0,0,0,0,0,0
10474,0,0,0,0,0,0,0,0,0,0
10475,0,0,0,0,9,13,0,0,0,0
10476,0,0,0,0,0,0,0,0,0,0
10477,0,0,0,0,0,0,0,0,22,0
10478,14,32,17,16,22,13,35,33,17,8
10479,11,11,11,11,11,11,11,11,11,11
10480,0,0,0,0,15,8,0,0,0,0
10481,18,0,0,0,0,0,0,0,0,1
10482,0,0,0,0,0,0,0,0,0,0
10483,37,37,37,37,37,37,37,37,37,37
10484,0,0,0,0,0,0,0,0,0,0
10485,0,9,0,10,0,0,0,0,0,15
10486,12,15,12,21,11,24,17,20,16,15
10487,0,0,0,0,0,0,0,0,0,0
10488,14,14,14,14,14,14,14,14,14,14
