ST_CASE,WEATHERNAME,YEAR
20018,Cloudy,2019
20019,Clear,2019
20021,Clear,2019
20022,Cloudy,2019
20023,Cloudy,2019
20024,Cloudy,2019
20025,Cloudy,2019
20026,Clear,2019
20029,Clear,2019
20030,Clear,2019
20031,Clear,2019
20032,Clear,2019
20033,Clear,2019
20034,Cloudy,2019
20035,Clear,2019
20036,Clear,2019
20037,Clear,2019
20038,Clear,2019
20039,Cloudy,2019
20040,Clear,2019
20041,Clear,2019
20042,Not Reported,2019
20043,Clear,2019
20044,Clear,2019
20045,Clear,2019
20046,Snow,2019
20047,Clear,2019
20048,Clear,2019
20049,Cloudy,2019
20050,Clear,2019
20051,Rain,2019
20052,Rain,2019
20054,Clear,2019
20055,Cloudy,2019
20056,Snow,2019
20057,Rain,2019
20058,Snow,2019
20059,Snow,2019
20060,Severe Crosswinds,2019
20061,Clear,2019
20062,Cloudy,2019
20063,Clear,2019
20064,Clear,2019
20065,Blowing Snow,2019
20066,Snow,2019
20067,Rain,2019
40001,Clear,2019
40002,Clear,2019
40003,Clear,2019
40004,Cloudy,2019
40005,Clear,2019
40006,Clear,2019
40007,Clear,2019
40008,Cloudy,2019
40009,Clear,2019
40010,Clear,2019
40011,Clear,2019
40012,Cloudy,2019
40014,Cloudy,2019
40015,Clear,2019
40016,Clear,2019
40017,Clear,2019
40018,Clear,2019
40019,Clear,2019
40020,Clear,2019
40021,Clear,2019
40022,Rain,2019
40023,Cloudy,2019
40024,Clear,2019
40025,Clear,2019
40026,Cloudy,2019
40027,Cloudy,2019
40028,Clear,2019
40029,Clear,2019
40030,Clear,2019
40031,Clear,2019
40032,Sleet or Hail,2019
40033,Cloudy,2019
40034,Clear,2019
40035,Clear,2019
40036,Cloudy,2019
40037,Clear,2019
40038,Clear,2019
40039,Clear,2019
40040,Clear,2019
40041,Clear,2019
40042,Clear,2019
40043,Clear,2019
40044,Clear,2019
40045,Clear,2019
40046,Clear,2019
40047,Clear,2019
